month,avgeurusd,mineurusd,maxeurusd,workdays
12/2019,1.111345,1.102300,1.123400,20
11/2019,1.105095,1.098200,1.115800,21
10/2019,1.105257,1.089800,1.117300,23
9/2019,1.100390,1.088900,1.109600,21
8/2019,1.112623,1.103600,1.122200,22
7/2019,1.121839,1.111500,1.134900,23
6/2019,1.129340,1.118500,1.139400,20
5/2019,1.118459,1.113400,1.124500,22
4/2019,1.123825,1.112300,1.132100,20
3/2019,1.130248,1.121800,1.138700,21
2/2019,1.135115,1.126000,1.147100,20
1/2019,1.141641,1.134100,1.153500,22
12/2018,1.138421,1.128500,1.145400,19
11/2018,1.136686,1.126100,1.148700,22
10/2018,1.148404,1.131800,1.160600,23
9/2018,1.165870,1.156200,1.177700,20
8/2018,1.154896,1.132100,1.171000,23
7/2018,1.168573,1.158800,1.178900,22
6/2018,1.167829,1.153400,1.183600,21
5/2018,1.181223,1.155800,1.200700,22
4/2018,1.227630,1.207000,1.238800,20
3/2018,1.233619,1.217100,1.242100,21
2/2018,1.234780,1.221400,1.249300,20
1/2018,1.219950,1.193200,1.245700,22
12/2017,1.183621,1.173600,1.199300,19
11/2017,1.173800,1.156200,1.195200,22
10/2017,1.175586,1.160500,1.185600,22
9/2017,1.191457,1.174100,1.206000,21
8/2017,1.180730,1.171000,1.204800,23
7/2017,1.151114,1.132900,1.172900,21
6/2017,1.122945,1.114700,1.141300,22
5/2017,1.105750,1.086000,1.124300,22
4/2017,1.072267,1.057800,1.093000,18
3/2017,1.068470,1.051400,1.088900,23
2/2017,1.064265,1.051300,1.080800,20
1/2017,1.061441,1.038500,1.075500,22
12/2016,1.054290,1.036400,1.076200,21
11/2016,1.079895,1.054800,1.109500,22
10/2016,1.102605,1.087200,1.123600,21
9/2016,1.121209,1.114600,1.129600,22
8/2016,1.121174,1.107800,1.133900,23
7/2016,1.106852,1.098200,1.115700,21
6/2016,1.122891,1.099800,1.138900,22
5/2016,1.131109,1.113900,1.156900,22
4/2016,1.133919,1.125200,1.143200,21
3/2016,1.109967,1.085600,1.138500,21
2/2016,1.109295,1.088400,1.134700,21
1/2016,1.085965,1.074200,1.092000,20
12/2015,1.087718,1.060000,1.099000,22
11/2015,1.073600,1.057900,1.103200,21
10/2015,1.123509,1.093000,1.143900,22
9/2015,1.122118,1.113800,1.141900,22
8/2015,1.113905,1.088300,1.150600,21
7/2015,1.099578,1.085200,1.118500,23
6/2015,1.121323,1.094400,1.140400,22
5/2015,1.114955,1.086300,1.141900,20
4/2015,1.077930,1.055200,1.121500,20
3/2015,1.083768,1.055700,1.122700,22
2/2015,1.134965,1.124000,1.144700,20
1/2015,1.162133,1.119800,1.204300,21
12/2014,1.233133,1.214100,1.253700,21
11/2014,1.247220,1.239300,1.253900,20
10/2014,1.267274,1.252400,1.282300,23
9/2014,1.290136,1.258300,1.315100,22
8/2014,1.331610,1.317700,1.342200,21
7/2014,1.353917,1.337900,1.368800,23
6/2014,1.359238,1.352800,1.365800,21
5/2014,1.373214,1.360700,1.395300,21
4/2014,1.381250,1.370000,1.387200,20
3/2014,1.382252,1.373200,1.394200,21
2/2014,1.365850,1.349500,1.381300,20
1/2014,1.361023,1.351600,1.368700,22
12/2013,1.370360,1.353600,1.381400,20
11/2013,1.349290,1.336500,1.361100,21
10/2013,1.363496,1.349300,1.380500,23
9/2013,1.334790,1.311700,1.354500,21
8/2013,1.330950,1.320300,1.339200,22
7/2013,1.308013,1.281300,1.328400,23
6/2013,1.318875,1.300800,1.340600,20
5/2013,1.298205,1.285300,1.319100,22
4/2013,1.302600,1.281800,1.312900,21
3/2013,1.296360,1.276800,1.309000,20
2/2013,1.335905,1.307700,1.364400,20
1/2013,1.328805,1.301200,1.355000,22
12/2012,1.311937,1.290500,1.330200,19
11/2012,1.282773,1.269400,1.299400,22
10/2012,1.297417,1.287700,1.312000,23
9/2012,1.285570,1.256800,1.309500,20
8/2012,1.239996,1.224500,1.261100,23
7/2012,1.228845,1.208900,1.259300,22
6/2012,1.252629,1.232200,1.270400,21
5/2012,1.278891,1.240300,1.313200,22
4/2012,1.316174,1.302400,1.331900,19
3/2012,1.320100,1.305700,1.335600,22
2/2012,1.322410,1.298200,1.345400,21
1/2012,1.290486,1.266900,1.317600,22
12/2011,1.317905,1.288900,1.351100,21
11/2011,1.355573,1.322900,1.380900,22
10/2011,1.370633,1.318100,1.416000,21
9/2011,1.377000,1.343000,1.428500,22
8/2011,1.434322,1.414300,1.448700,23
7/2011,1.426429,1.397500,1.450000,21
6/2011,1.438841,1.408800,1.465200,22
5/2011,1.434864,1.402000,1.488200,22
4/2011,1.444179,1.414100,1.486000,19
3/2011,1.399639,1.377300,1.421100,23
