year	month	m1_12	m24_36	m48_60	m61_120
1952	1	0.00214	0.00501	0.00706	0.00377
1952	2	0.00142	0.00174	0.00216	-0.00202
1952	3	0.00218	0.0038	0.00605	0.00726
1952	4	0.00137	0.00249	0.00598	0.00566
1952	5	0.00103	0.00061	0.00089	0.00173
1952	6	0.00087	-0.00021	-0.00247	-0.00366
1952	7	0.00138	5e-05	-0.0022	-0.00315
1952	8	0.00129	0.00022	1e-04	-0.00172
1952	9	0.00203	0.00141	-1e-04	0.00029
1952	10	0.00199	0.00278	3e-05	0.00701
1952	11	0.00077	6e-05	0.00231	0.00154
1952	12	0.00206	0.00119	0.00236	0.00187
1953	1	0.00216	0.00278	0.00143	-8e-05
1953	2	0.00103	0.00055	-0.00074	1e-04
1953	3	0.00154	0.00145	-0.00316	-0.00131
1953	4	0.00039	-7e-04	-0.00658	-0.00908
1953	5	0.00121	-0.00335	-0.00914	-0.01218
1953	6	0.00386	0.00568	0.01508	0.01467
1953	7	0.00245	0.00457	0.00468	0.00653
1953	8	0.00252	0.00287	-0.00076	-0.00076
1953	9	0.00402	0.00523	0.016	0.0184
1953	10	0.00374	0.00848	0.00619	0.0076
1953	11	0.00137	0.00183	0.00139	-0.00142
1953	12	0.00236	0.00255	0.00898	0.01649
1954	1	0.00389	0.01031	0.01025	0.00263
1954	2	0.00067	0.00457	0.00824	0.01013
1954	3	0.00138	0.00166	0.00428	0.00739
1954	4	0.00286	0.00299	0.00495	0.0116
1954	5	-0.00022	0.00045	-0.00702	-0.01405
1954	6	0.0012	0.00469	0.00793	0.0126
1954	7	0.00152	0.00145	0.00122	0.00056
1954	8	-0.00079	0.00096	7e-05	-8e-04
1954	9	0.00048	-0.00259	-0.00156	-0.00016
1954	10	0.00049	-0.00041	-0.00115	-0.00134
1954	11	5e-05	0.00195	-0.00037	-0.00113
1954	12	0.00074	0.00089	-0.00121	-0.00038
1955	1	-0.00024	-0.00258	-0.00179	-0.00377
1955	2	4e-05	-0.00429	-0.00819	-0.00554
1955	3	0.00166	0.0015	0.0026	0.00271
1955	4	0.00048	0.00017	-0.00071	-0.00022
1955	5	0.0017	0.00256	0.00136	0.00231
1955	6	0.00106	-0.00026	-0.00358	-0.00479
1955	7	0.00027	-0.00119	-0.00137	-0.00772
1955	8	0.00084	-0.00181	-0.00282	0.00145
1955	9	0.00158	0.00475	0.0052	0.00842
1955	10	0.00206	0.00415	0.00817	0.00765
1955	11	4e-04	-0.00326	-0.00365	-0.00535
1955	12	0.00116	0.00069	-0.00038	0.00025
1956	1	0.00361	0.00719	0.00718	0.01095
1956	2	0.00158	0.00119	-0.00043	0.00102
1956	3	0.00174	-0.00408	-0.00529	-0.01299
1956	4	0.00032	-0.00405	-0.00423	0.00039
1956	5	0.0035	0.00878	0.00811	0.01184
1956	6	0.00287	0.00405	0.00608	0.00081
1956	7	0.00136	-0.00365	-0.00933	-0.01146
1956	8	0.00096	-0.00336	-0.01039	-0.00865
1956	9	0.0019	0.00178	0.00448	0.00626
1956	10	0.00326	0.00485	0.00365	-0.00255
1956	11	0.0011	-0.0046	-0.00518	-0.00378
1956	12	0.00193	0.00402	0.00464	-0.00108
1957	1	0.00416	0.01012	0.01491	0.02374
1957	2	0.00131	-0.00104	-0.00245	-0.00125
1957	3	0.00307	0.00546	0.00241	0.00177
1957	4	0.00198	0.00071	-0.00271	-0.01012
1957	5	0.00228	-5e-05	-0.00316	-0.0017
1957	6	0.0014	-0.00158	-0.00536	-0.01061
1957	7	0.00286	0.00112	0.00168	-0.0015
1957	8	0.00222	0.00503	0.00441	0.01092
1957	9	0.00275	0.00054	0.00088	0.00025
1957	10	0.0038	0.00518	0.00719	0.00428
1957	11	0.00559	0.02129	0.0318	0.03958
1957	12	0.00509	0.01439	0.02454	0.02155
1958	1	0.0068	0.00772	0.00423	0.00338
1958	2	0.00238	0.00995	0.01212	0.01386
1958	3	0.00207	0.00351	0.00397	0.00684
1958	4	0.00257	0.00812	0.01136	0.01144
1958	5	0.0028	0.00417	0.0054	0.00517
1958	6	-0.00033	-0.00173	-0.0117	-0.00817
1958	7	-9e-05	-0.0023	-0.01014	-0.01398
1958	8	-0.00389	-0.02225	-0.03257	-0.03511
1958	9	0.00104	-0.00112	0.00043	0.00042
1958	10	0.00374	0.00186	0.00376	0.00405
1958	11	0.00156	0.00687	0.01279	0.01004
1958	12	0.00297	0.00094	-0.00584	-0.01487
1959	1	0.00098	-0.00118	-0.00168	-0.00057
1959	2	0.00259	0.00444	0.008	0.00818
1959	3	0.00262	-0.00021	-0.00537	-0.00398
1959	4	0.00208	8e-05	-0.00412	-0.00986
1959	5	0.00198	0.00035	-0.00106	0.00075
1959	6	0.00251	-0.00148	-0.00646	-0.00438
1959	7	0.00263	0.00392	0.00685	0.00329
1959	8	0.00142	-0.00344	-0.00862	-0.00955
1959	9	0.00203	-0.00022	0.00103	0.00149
1959	10	0.00656	0.01468	0.01648	0.0208
1959	11	0.00097	-0.00621	-0.00543	-0.00657
1959	12	0.0038	-0.00085	0.00276	-0.00964
1960	1	0.00596	0.01019	0.00616	0.01275
1960	2	0.00258	0.0052	0.0062	0.01152
1960	3	0.00764	0.02241	0.02827	0.03195
1960	4	0.00185	-0.00616	-0.01108	-0.00932
1960	5	0.00371	0.00424	0.00766	0.0028
1960	6	0.0074	0.01849	0.02374	0.0238
1960	7	0.00292	0.01577	0.02317	0.02898
1960	8	0.00227	0.00032	-0.00074	-0.00313
1960	9	0.00219	0.00514	0.00188	0.00565
1960	10	0.00331	0.00284	0.00179	-0.00242
1960	11	0.00131	-0.0034	-0.00875	-0.00565
1960	12	0.00424	0.01385	0.0243	0.02082
1961	1	0.00218	-0.00424	-0.00996	-0.0062
1961	2	0.00057	0.00318	0.00831	0.00895
1961	3	0.00307	0.0061	0.00167	0.00248
1961	4	0.00249	0.004	0.00878	0.00591
1961	5	0.00231	-0.0019	-0.00152	-0.00184
