f3,v3,tot3,prov,reg,scl,nahm,durb,nch06,nch711,nch1217,nch18
4322.2727,9022.2,45768.9497,5,4,3,2,7,0,0,0,0
6218.9621,372.95,31959.5891,2,3,4,2,6,0,0,0,0
2636.801,565.85,20518.3855,3,3,2,1,7,0,0,0,0
9884.052,0,30920.132,11,5,5,3,10,0,1,1,0
8718.0991,4892.35,66465.3101,8,2,3,3,9,0,1,1,0
6465.1255,0,35512.7775,7,2,3,2,3,0,0,0,0
8535.7254,497.25,73175.7854,7,2,3,2,6,0,0,0,0
4238.3105,274.5,19065.1015,7,2,5,2,9,0,0,0,0
7714.4263,3147.27,50670.8553,5,4,2,2,10,3,0,0,0
7366.8951,9685.18,67744.6701,8,2,2,3,6,0,0,0,1
3411.7392,0,15273.1526,9,5,4,1,5,0,0,0,0
5651.7171,625,68499.1321,10,5,3,2,5,0,0,1,1
6382.6856,0,26948.8166,6,2,2,2,12,0,0,0,0
5129.5945,300,23361.875,8,2,4,2,11,0,1,1,0
7186.8233,1010.75,80418.4473,2,3,2,2,3,0,0,0,0
3567.5521,0,13736.6645,4,4,4,1,9,0,0,0,0
8092.9549,139.2,55120.1304,7,2,3,2,6,0,0,0,0
1962.9323,293.5,17439.7388,1,3,1,2,9,0,0,0,0
5002.8503,0,17926.556,2,3,4,2,4,0,0,0,0
11896.3283,3259,57986.2363,5,4,3,2,12,0,0,0,0
2591.6487,886.5,14611.6015,5,4,1,1,12,0,0,0,0
2261.1563,842.5,19030.1666,6,2,4,1,12,0,0,0,0
4993.4366,3375,31148.6216,5,4,4,2,12,0,0,0,0
1413.6808,0,17510.9645,12,1,3,1,13,0,0,0,0
5438.1233,6115.7,30557.0623,8,2,4,2,11,0,0,0,0
5544.0498,580,24065.6678,4,4,3,2,11,0,0,0,1
2876.2827,25,12293.7586,8,2,5,1,10,0,0,0,0
8344.06,995,25640.62,5,4,4,2,5,0,0,0,0
5355.95,0,24706.76,8,2,4,2,7,0,0,0,0
8689.5,827.5,36383.23,4,4,4,2,5,2,0,0,0
4090.51,0,15429.36,7,2,4,2,11,0,0,0,0
6099.68,186.5,32960.63,7,2,4,2,3,0,0,0,0
9796.51,6565.6,37018.33,12,1,3,2,13,0,0,0,0
8234.73,684.75,34677.81,8,2,4,2,6,0,0,0,0
4126.48,3089.8,25897.42,7,2,4,1,12,0,0,0,0
3868.05,424,50176.37,7,2,3,1,11,0,0,0,0
8021.27,0,61212.56,5,4,1,2,4,0,0,0,0
4460.62,548.5,17126.32,10,5,4,2,5,0,0,0,0
10498.6,11074.96,56320.58,7,2,4,4,7,0,1,1,1
9813.28,555,27356.02,10,5,4,2,6,0,0,0,0
9591.38,0,26323.3,5,4,2,2,6,0,0,0,0
4845.28,3395.9,30516.71,6,2,1,4,12,0,0,2,0
11078.34,0,42504.33,10,5,4,2,12,0,0,0,1
7761.76,0,12358.42,8,2,4,3,7,0,1,1,0
946.12,905.88,10068.62,2,3,2,1,11,0,0,0,0
8312.42,5255.41,50183.72,8,2,3,2,10,0,0,0,0
7305.63,0,21309.4,4,4,3,2,6,0,1,0,0
11498.09,2895.53,40688.08,3,3,3,1,3,0,0,0,0
3399.8365,0,29859.5635,8,6,2,1,7,0,0,0,0
9535.4008,3611.42,52615.6158,8,6,2,2,7,1,2,0,0
3666.5003,220,15521.0528,6,2,2,3,7,0,0,0,1
10975.899,5157.5,40124.7112,10,5,3,2,6,0,0,0,0
3882.6884,2660.7,16477.2779,10,5,4,2,10,0,0,0,0
6215.2541,766.4,25277.8851,5,4,4,4,12,0,0,2,0
8810.7153,1442.5,92801.2393,1,3,4,4,4,0,1,2,0
6115.12,0,41214.681,4,4,2,2,4,1,0,0,0
8310.506,1828.01,63758.942,10,5,2,2,5,0,2,0,0
4571.5837,1923,45156.3885,11,5,4,3,5,0,0,1,0
5149.5198,0,19598.4729,11,5,4,2,11,0,0,0,0
3992.4099,221.75,21580.686,5,4,4,2,12,0,0,0,0
7819.35,485.7,40282.9832,5,4,4,2,8,1,0,0,0
5265.0832,0,22614.6207,5,4,4,2,8,3,0,0,0
4686.963,0,11834.559,2,3,2,2,3,0,0,0,0
1619.0682,0,13017.8708,7,2,4,1,12,0,0,0,0
7526.285,1089.55,40097.69,8,6,2,2,7,0,1,0,0
6135.5352,250,31847.1185,8,2,3,2,11,0,0,0,0
9307.2448,0,33597.7867,9,5,4,2,5,1,1,0,0
13898.4012,805,58480.0392,8,2,4,4,4,1,0,1,1
8869.4763,0,27090.3923,12,1,4,3,13,0,0,0,1
7075.5368,5286.36,45212.1338,8,2,2,2,10,0,0,0,0
10163.4298,6248.1,42276.5648,12,1,4,5,13,0,0,1,2
1987.1065,705,9551.6571,12,1,4,2,13,1,0,0,0
6703.9606,120,26586.4044,9,5,4,2,4,0,0,0,0
13249.7972,0,44218.4412,10,5,4,2,9,2,0,0,0
15338.1668,576.15,69190.5278,10,5,2,3,6,0,1,1,0
3735.1567,2984.88,21994.9402,10,5,4,2,5,0,0,0,0
5067.8712,2076,36752.1064,10,5,4,2,6,0,0,0,0
6077.456,381,21709.6267,5,4,3,2,12,0,0,0,0
